"goal_id","player_id","is_plus"
"81","74","0"
"81","75","0"
"81","76","0"
"81","131","0"
"81","150","1"
"82","34","0"
"82","36","0"
"82","38","0"
"82","42","0"
"82","65","1"
"82","68","1"
"82","73","1"
"82","133","1"
"82","149","0"
"83","23","1"
"83","25","1"
"83","32","0"
"83","78","1"
"83","83","0"
"83","84","0"
"83","90","1"
"83","91","1"
"83","156","0"
"83","158","0"
"84","25","1"
"84","30","0"
"84","78","1"
"84","82","0"
"84","84","0"
"84","90","1"
"84","97","1"
"84","98","0"
"84","129","1"
"84","159","0"
"85","23","1"
"85","24","1"
"85","25","1"
"85","27","0"
"85","78","1"
"85","81","0"
"85","117","1"
"85","118","1"
"85","163","0"
"85","164","0"
"86","34","1"
"86","36","1"
"86","40","1"
"86","44","1"
"86","87","1"
"86","98","0"
"86","157","0"
"86","161","0"
"86","163","0"
"86","164","0"
"88","31","1"
"88","33","0"
"88","42","0"
"88","44","0"
"88","83","1"
"88","84","1"
"88","86","0"
"88","87","0"
"88","98","1"
"88","161","1"
"89","20","1"
"89","21","1"
"89","24","1"
"89","67","0"
"89","74","0"
"89","79","1"
"89","101","0"
"89","103","1"
"89","126","0"
"89","128","0"
"91","30","0"
"91","31","0"
"91","34","1"
"91","36","1"
"91","42","1"
"91","44","1"
"91","84","0"
"91","86","1"
"91","163","0"
"93","20","0"
"93","21","0"
"93","65","1"
"93","74","1"
"93","75","1"
"93","76","1"
"93","90","0"
"93","104","0"
"93","129","0"
"93","131","1"
"94","29","1"
"94","35","0"
"94","37","0"
"94","38","0"
"94","83","1"
"94","84","1"
"94","86","0"
"94","152","0"
"94","156","1"
"94","158","1"
"95","31","1"
"95","34","0"
"95","36","0"
"95","38","0"
"95","42","0"
"95","82","1"
"95","98","1"
"95","152","0"
"95","159","1"
"95","161","1"
"96","20","1"
"96","21","1"
"96","24","1"
"96","71","0"
"96","73","0"
"96","75","0"
"96","79","1"
"96","100","0"
"96","104","1"
"96","133","0"
"97","30","1"
"97","31","1"
"97","34","0"
"97","36","0"
"97","42","0"
"97","44","0"
"97","82","1"
"97","84","1"
"97","86","0"
"97","87","0"
"97","157","1"
"98","31","1"
"98","42","0"
"98","44","0"
"98","83","1"
"98","87","0"
"98","98","1"
"98","147","0"
"98","157","1"
"98","161","1"
"99","20","1"
"99","21","1"
"99","65","0"
"99","67","0"
"99","74","0"
"99","75","0"
"99","76","0"
"99","90","1"
"99","104","1"
"99","129","1"
"100","49","1"
"100","60","1"
"100","63","1"
"100","67","0"
"100","71","0"
"100","73","0"
"100","88","1"
"100","141","1"
"101","51","1"
"101","53","1"
"101","56","1"
"101","57","1"
"101","74","0"
"101","126","0"
"101","128","0"
"101","133","0"
"101","138","1"
"102","50","1"
"102","52","1"
"102","63","1"
"102","68","0"
"102","72","0"
"102","74","0"
"102","88","1"
"102","101","0"
"102","128","0"
"102","141","1"
"103","53","0"
"103","57","0"
"103","60","0"
"103","62","0"
"103","68","1"
"103","73","1"
"103","74","1"
"103","100","1"
"103","126","1"
"103","138","0"
"104","49","1"
"104","50","1"
"104","52","1"
"104","73","0"
"104","100","0"
"104","126","0"
"104","133","0"
"104","137","1"
"104","142","1"
"104","165","0"
"105","51","1"
"105","53","1"
"105","56","1"
"105","57","1"
"105","65","0"
"105","66","0"
"105","69","0"
"105","133","0"
"105","138","1"
"105","165","0"
"106","11","0"
"106","12","0"
"106","13","0"
"106","15","0"
"106","18","0"
"106","31","1"
"106","80","1"
"106","83","1"
"106","84","1"
"106","98","1"
"107","1","0"
"107","2","0"
"107","16","0"
"107","17","0"
"107","30","1"
"107","32","1"
"107","82","1"
"107","99","1"
"107","161","1"
"107","167","0"
"108","1","1"
"108","9","1"
"108","12","1"
"108","29","0"
"108","31","0"
"108","82","0"
"108","98","0"
"108","109","1"
"108","161","0"
"109","1","1"
"109","10","1"
"109","12","1"
"109","16","1"
"109","17","1"
"109","30","0"
"109","32","0"
"109","83","0"
"109","84","0"
"109","161","0"
"111","12","1"
"111","30","0"
"111","80","0"
"111","84","0"
"111","109","1"
"111","110","1"
"112","24","1"
"112","33","0"
"112","40","0"
"112","44","0"
"112","79","1"
"112","91","1"
"112","115","1"
"112","116","1"
"112","146","0"
"112","152","0"
