"id","start_date","end_date","team_id","jersey_number","position"
"103","2023-11-01","2024-06-01","2","11","F"
"104","2023-11-01","2024-06-01","2","41","F"
"104","2024-11-01","2025-06-01","2","41","F"
"104","2025-11-01","2026-03-30","1","41","F"
"105","2023-11-01","2024-06-01","2","18","F"
"106","2023-11-01","2024-06-01","1","7","F"
"107","2024-01-01","2024-06-01","1","26","F"
"108","2023-11-01","2024-06-01","1","55","F"
"108","2024-11-01","2025-06-01","5","5","D"
"109","2023-11-01","2024-06-01","1","19","F"
"110","2023-11-01","2024-06-01","1","16","F"
"110","2024-11-01","2025-06-01","1","16","F"
"111","2023-11-01","2024-06-01","1","12","F"
"112","2023-11-01","2023-12-31","1","24","D"
"113","2023-11-01","2024-06-01","1","35","G"
"113","2024-11-01","2025-06-01","1","35","G"
"114","2023-11-01","2024-06-01","2","24","F"
"114","2024-11-01","2025-06-01","3","24","F"
"115","2023-11-01","2024-06-01","2","86","F"
"115","2024-11-01","2025-06-01","2","86","F"
"115","2025-11-01","2026-01-18","9","86","F"
"116","2023-11-01","2024-06-01","2","14","F"
"116","2024-11-01","2025-06-01","3","26","F"
"117","2023-11-01","2024-06-01","1","18","D"
"118","2023-11-01","2024-06-01","2","25","D"
"118","2024-11-01","2025-06-01","1","25","D"
"118","2025-11-01","2026-01-18","9","25","D"
"119","2023-11-01","2024-06-01","2","36","D"
"120","2023-11-01","2024-06-01","2","5","D"
"121","2023-11-01","2024-06-01","2","33","G"
"121","2024-11-01","2025-06-01","2","33","G"
"122","2023-11-01","2024-06-01","2","28","G"
"123","2023-11-01","2024-06-01","2","35","G"
"123","2024-11-01","2025-06-01","2","35","G"
"125","2023-11-01","2024-06-01","6","51","F"
"125","2024-11-01","2025-06-01","5","12","F"
"126","2023-11-01","2024-06-01","6","17","F"
"126","2024-11-01","2025-06-01","6","17","F"
"127","2023-11-01","2024-06-01","6","23","F"
"128","2023-11-01","2024-06-01","6","28","F"
"128","2024-11-01","2025-06-01","3","19","F"
"129","2024-01-01","2024-06-01","2","23","D"
"129","2024-11-01","2025-06-01","2","23","D"
"130","2023-11-01","2024-06-01","6","21","D"
"131","2023-11-01","2024-06-01","6","7","D"
"131","2024-11-01","2025-06-01","4","7","D"
"132","2023-11-01","2024-06-01","6","55","D"
"132","2024-11-01","2025-06-01","6","2","D"
"133","2023-11-01","2024-06-01","6","5","D"
"134","2023-11-01","2024-06-01","6","70","G"
"134","2024-11-01","2025-06-01","6","70","G"
"135","2023-11-01","2024-12-31","6","43","G"
"136","2023-11-01","2024-06-01","5","81","F"
"137","2023-11-01","2024-06-01","5","94","F"
"138","2023-11-01","2024-06-01","3","18","F"
"138","2024-11-01","2025-06-01","3","18","F"
"140","2023-11-01","2024-06-01","5","18","F"
"141","2023-11-01","2024-06-01","5","11","F"
"142","2023-11-01","2024-06-01","5","8","F"
"142","2024-11-01","2025-06-01","5","8","F"
"143","2023-11-01","2024-06-01","5","20","D"
"144","2023-11-01","2024-06-01","5","5","D"
"145","2023-11-01","2024-06-01","5","34","G"
"146","2023-11-01","2024-06-01","4","16","F"
"146","2024-11-01","2025-06-01","4","16","F"
"147","2023-11-01","2024-06-01","4","71","F"
"147","2024-11-01","2025-06-01","4","71","F"
"148","2023-11-01","2024-06-01","4","23","F"
"148","2024-11-01","2025-06-01","4","23","F"
"149","2023-11-01","2024-06-01","4","44","F"
"149","2024-11-01","2025-06-01","1","44","F"
"150","2023-11-01","2024-06-01","4","4","D"
"150","2024-11-01","2025-06-01","4","4","D"
"151","2023-11-01","2024-12-31","4","5","D"
"152","2023-11-01","2024-06-01","4","59","D"
"153","2023-11-01","2024-06-01","4","74","D"
"154","2023-11-01","2024-06-01","4","33","G"
"155","2023-11-01","2024-06-01","4","30","G"
"155","2024-11-01","2025-06-01","4","30","G"
"156","2023-11-01","2024-06-01","3","8","F"
"156","2024-11-01","2025-06-01","3","8","F"
"157","2023-11-01","2024-06-01","3","28","F"
"157","2024-11-01","2025-06-01","3","28","F"
"158","2023-11-01","2024-06-01","3","16","F"
"159","2023-11-01","2024-06-01","3","12","F"
"160","2023-11-01","2024-06-01","3","17","F"
"161","2023-11-01","2024-06-01","3","21","F"
"161","2024-11-01","2025-06-01","5","13","F"
"162","2023-11-01","2024-06-01","3","6","D"
"162","2024-11-01","2025-06-01","4","6","D"
"163","2023-11-01","2024-06-01","3","4","D"
"163","2024-11-01","2025-06-01","3","4","D"
"164","2023-11-01","2024-06-01","3","10","D"
"165","2023-01-01","2024-06-01","6","76","D"
"165","2024-11-01","2025-06-01","1","76","D"
"166","2023-11-01","2024-06-01","3","1","G"
"166","2024-11-01","2025-06-01","3","1","G"
"167","2023-11-01","2024-06-01","1","7","D"
"167","2024-11-01","2025-06-01","1","7","D"
"168","2023-11-01","2024-06-01","3","25","F"
"169","2023-11-01","2024-06-01","4","42","D"
"169","2024-11-01","2025-06-01","2","42","D"
"175","2023-11-01","2024-06-01","1","55","F"
"175","2024-11-01","2025-06-01","1","8","F"
"176","2023-11-01","2024-06-01","1","14","F"
"177","2023-11-01","2023-12-31","3","3","F"
"178","2023-11-01","2024-06-01","5","95","F"
"180","2024-11-01","2025-06-01","1","15","D"
"181","2024-11-01","2025-06-01","1","19","F"
"182","2024-11-01","2025-06-01","1","6","D"
"183","2024-11-01","2025-06-01","1","27","F"
"184","2024-11-01","2025-06-01","1","18","F"
"185","2024-11-01","2025-06-01","1","55","D"
"186","2024-11-01","2025-06-01","1","29","G"
"187","2024-11-01","2025-06-01","2","8","D"
"188","2024-11-01","2025-06-01","2","9","D"
"189","2024-11-01","2025-06-01","2","77","F"
"190","2024-11-01","2025-06-01","2","71","F"
"191","2024-11-01","2025-06-01","2","6","F"
"192","2024-11-01","2025-06-01","2","3","F"
"192","2025-11-01","2026-01-18","9","26","F"
"193","2024-11-01","2025-06-01","2","32","G"
"194","2024-11-01","2025-06-01","2","11","F"
"195","2024-11-01","2025-06-01","2","14","F"
"196","2024-11-01","2025-06-01","3","3","D"
"197","2024-11-01","2025-06-01","3","33","G"
"198","2024-11-01","2025-06-01","3","12","F"
"199","2024-11-01","2025-06-01","3","17","F"
"200","2024-11-01","2025-06-01","6","71","D"
"201","2024-11-01","2025-06-01","3","25","F"
"202","2024-11-01","2025-06-01","3","51","D"
"203","2024-11-01","2025-06-01","3","5","D"
"204","2024-11-01","2025-06-01","4","29","F"
"205","2024-11-01","2025-06-01","4","10","F"
"206","2024-11-01","2025-06-01","4","13","F"
"207","2024-11-01","2025-06-01","4","16","D"
"208","2024-11-01","2025-06-01","6","23","D"
"209","2024-11-01","2025-06-01","6","8","F"
"210","2024-11-01","2025-06-01","6","88","F"
"211","2024-11-01","2025-06-01","6","1","G"
"212","2024-11-01","2025-06-01","6","25","F"
"213","2024-11-01","2025-06-01","6","13","F"
"214","2024-11-01","2025-06-01","6","61","F"
"215","2024-11-01","2025-06-01","5","9","D"
"216","2024-11-01","2025-06-01","5","35","G"
"217","2024-11-01","2025-06-01","5","22","F"
"218","2024-11-01","2025-06-01","5","40","G"
"219","2024-11-01","2025-06-01","5","6","D"
"220","2024-11-01","2025-06-01","5","18","F"
"220","2025-11-01","2026-01-18","5","18","F"
"221","2024-11-01","2025-06-01","5","94","F"
"221","2025-11-01","2026-01-18","5","94","F"
"222","2024-11-01","2025-06-01","5","33","G"
"223","2024-11-01","2025-06-01","5","88","D"
"224","2024-11-01","2025-06-01","5","92","F"
"225","2024-11-01","2025-06-01","5","44","F"
"226","2024-11-01","2025-06-01","5","4","D"
"227","2024-11-01","2025-06-01","4","15","F"
"228","2024-11-01","2025-06-01","4","82","G"
"229","2024-11-01","2025-06-01","4","8","D"
"230","2024-11-01","2025-06-01","4","20","D"
"231","2024-11-01","2025-06-01","4","40","F"
"232","2024-11-01","2025-06-01","6","55","D"
"234","2024-11-01","2025-06-01","6","35","G"
"239","2025-11-01","2026-01-18","5","97","F"
