"shooter_id","goalie_id","game_id","is_goal","is_gamewinninggoal","shootout_attempt","id"
"44","123","130","0","0","5","131"
"53","123","44","0","0","4","132"
"53","122","75","0","0","1","133"
"56","6","65","0","0","3","134"
"57","155","79","1","0","4","135"
"58","123","44","0","0","3","136"
"58","6","65","0","0","4","137"
"58","6","69","0","0","4","138"
"58","122","75","0","0","5","139"
"58","155","79","0","0","2","140"
"58","6","237","0","0","1","141"
"58","6","237","1","0","7","142"
"58","6","237","1","1","8","143"
"58","6","251","1","0","2","144"
"58","6","251","0","0","4","145"
"60","6","69","0","0","2","148"
"61","123","44","1","0","1","149"
"61","6","65","0","0","1","150"
"61","122","75","0","0","2","151"
"61","28","106","0","0","1","152"
"63","123","44","0","0","2","153"
"63","6","69","0","0","3","154"
"63","122","75","0","0","4","155"
"63","155","79","0","0","5","156"
"63","123","136","0","0","4","157"
"63","85","138","0","0","4","158"
"63","228","189","0","0","2","159"
"63","28","227","0","0","2","160"
"63","155","245","0","0","3","161"
"65","123","136","0","0","5","164"
"66","28","17","0","0","1","165"
"73","155","36","0","0","4","168"
"73","28","227","0","0","4","169"
"75","28","17","0","0","4","170"
"75","123","136","1","0","3","171"
"75","85","138","0","0","2","172"
"78","48","75","0","0","2","173"
"78","155","139","0","0","3","174"
"78","85","163","0","0","1","175"
"78","85","163","1","1","6","176"
"78","28","173","1","0","4","177"
"78","228","179","1","1","2","178"
"78","228","179","0","0","5","179"
"78","222","237","0","0","3","180"
"78","155","259","0","0","3","181"
"78","228","269","1","0","2","182"
"78","228","269","0","0","5","183"
"79","48","75","0","0","5","185"
"83","22","55","1","0","3","186"
"83","22","55","0","0","4","187"
"83","59","106","0","0","4","188"
"83","64","138","0","0","4","189"
"83","19","163","1","0","3","190"
"83","6","173","0","0","3","191"
"86","64","36","0","0","4","192"
"86","85","76","0","0","3","193"
"88","6","65","1","0","2","196"
"88","6","69","1","0","1","197"
"88","6","69","1","1","5","198"
"88","155","79","0","0","1","199"
"88","28","106","0","0","2","200"
"88","28","106","0","0","5","201"
"88","6","237","1","0","3","202"
"88","6","237","0","0","5","203"
"88","6","237","0","0","6","204"
"88","6","251","1","1","3","205"
"89","28","17","1","0","3","207"
"89","28","17","0","0","5","208"
"89","123","136","0","0","1","209"
"89","85","138","0","0","1","210"
"98","22","55","0","0","1","211"
"98","41","76","0","0","3","212"
"98","64","138","0","0","3","213"
"100","28","17","0","0","2","214"
"100","155","36","1","1","2","215"
"100","155","36","1","0","5","216"
"100","228","189","1","1","1","217"
"100","228","189","1","0","4","218"
"100","28","227","0","0","3","219"
"100","155","245","0","0","2","220"
"104","48","44","1","0","1","222"
"104","85","55","0","0","1","223"
"104","228","117","1","0","1","224"
"114","48","44","0","0","3","225"
"115","85","55","0","0","2","226"
"115","228","117","0","0","3","227"
"125","155","36","0","0","1","228"
"133","28","17","1","1","6","229"
"133","155","36","0","0","3","230"
"138","122","75","0","0","3","231"
"138","59","106","0","0","2","232"
"138","123","156","0","0","5","233"
"138","6","173","0","0","2","234"
"141","155","79","0","0","3","235"
"142","6","65","0","0","5","236"
"158","41","76","0","0","5","237"
"161","64","17","0","0","3","238"
"161","41","35","0","0","2","239"
"161","41","76","1","0","1","240"
"161","28","106","0","0","4","241"
"169","155","130","0","0","2","242"
"169","211","136","1","1","4","243"
"169","28","156","0","0","5","244"
"181","28","173","1","1","3","245"
"181","211","245","1","1","1","246"
"181","211","245","0","0","3","247"
"181","6","259","0","0","1","248"
"189","155","130","1","0","1","249"
"189","155","130","0","0","6","250"
"189","211","136","1","0","1","251"
"189","211","136","0","0","5","252"
"189","28","156","0","0","1","253"
"192","211","136","0","0","2","254"
"192","28","156","0","0","2","255"
"198","123","156","0","0","3","256"
"201","19","163","0","0","1","257"
"203","211","245","1","0","2","258"
"203","6","259","0","0","2","259"
"205","22","117","0","0","2","260"
"205","123","130","0","0","3","261"
"205","6","139","0","0","2","262"
"205","6","179","0","0","3","263"
"205","134","189","0","0","3","264"
"205","6","269","0","0","2","265"
"205","6","269","0","0","6","266"
"209","123","136","0","0","2","267"
"209","85","138","0","0","5","268"
"210","85","138","1","0","3","269"
"210","228","189","0","0","3","270"
"210","6","259","0","0","5","271"
"224","28","106","0","0","3","272"
