"goal_id","player_id","primary_secondary"
"474","58","1"
"533","58","1"
"553","58","1"
"596","58","2"
"625","58","1"
"712","58","2"
"804","58","1"
"877","58","2"
"906","58","1"
"976","58","1"
"1081","58","1"
"1083","58","1"
"1104","58","1"
"1172","58","1"
"1174","58","1"
"1283","58","2"
"1337","58","1"
"1358","58","2"
"1414","58","1"
"1459","58","2"
"1570","58","1"
"1571","58","1"
"1597","58","2"
"1652","58","1"
"104","59","1"
"807","59","2"
"11","60","1"
"100","60","1"
"124","60","1"
"260","60","1"
"293","60","2"
"317","60","1"
"551","60","1"
"561","60","1"
"566","60","2"
"695","60","1"
"737","60","2"
"760","60","1"
"782","60","2"
"841","60","2"
"872","60","2"
"874","60","2"
"905","60","2"
"1026","60","2"
"1091","60","1"
"1108","60","1"
"1210","60","2"
"1240","60","1"
"1287","60","1"
"1336","60","1"
"1508","60","2"
"151","61","1"
"177","61","1"
"257","61","1"
"297","61","1"
"411","61","1"
"790","61","1"
"879","61","2"
"1149","61","1"
"1262","61","1"
"1278","61","2"
"1307","61","1"
"1327","61","1"
"1362","61","1"
"1363","61","2"
"1477","61","2"
"1642","61","1"
"1647","61","1"
"187","62","1"
"210","62","2"
"218","62","2"
"234","62","1"
"290","62","2"
"322","62","2"
"510","62","1"
"519","62","2"
"734","62","2"
"738","62","2"
"786","62","2"
"804","62","2"
"874","62","1"
"915","62","2"
"918","62","1"
"961","62","2"
"1169","62","1"
"1380","62","2"
"1401","62","1"
"1469","62","2"
"1519","62","2"
"1582","62","2"
"178","63","1"
"218","63","1"
"234","63","2"
"268","63","1"
"270","63","1"
"358","63","1"
"360","63","2"
"503","63","1"
"504","63","1"
"583","63","1"
"649","63","2"
"677","63","1"
"690","63","1"
"703","63","2"
"714","63","2"
"722","63","2"
"774","63","2"
"775","63","1"
"776","63","2"
"825","63","1"
"826","63","2"
"839","63","1"
"985","63","1"
"1051","63","2"
"1052","63","2"
"1113","63","1"
"1158","63","1"
"1221","63","2"
"1290","63","1"
"1297","63","2"
"1350","63","1"
"1370","63","1"
"1386","63","2"
"1481","63","1"
"188","64","2"
"54","65","1"
"82","65","1"
"129","65","1"
"140","65","2"
"194","65","1"
"585","65","1"
"634","65","2"
"671","65","2"
"677","65","2"
"694","65","1"
"762","65","1"
"789","65","2"
"898","65","1"
"934","65","2"
"956","65","1"
"981","65","2"
"990","65","2"
"1095","65","1"
"1156","65","1"
"1355","65","1"
"1420","65","1"
"1481","65","2"
"1587","65","2"
"27","66","2"
"141","66","2"
"156","66","2"
"312","66","1"
"971","66","1"
"1154","66","2"
"1503","66","1"
"27","67","1"
"50","67","1"
"79","67","2"
"186","67","2"
"239","67","2"
"243","67","1"
"252","67","2"
"254","67","2"
"279","67","1"
"351","67","1"
"376","67","1"
"393","67","1"
"418","67","2"
"420","67","2"
"424","67","1"
"504","67","2"
"520","67","2"
"559","67","1"
"570","67","1"
"582","67","2"
"634","67","1"
"635","67","2"
"690","67","2"
"692","67","2"
"700","67","2"
"761","67","2"
"764","67","2"
"778","67","2"
"823","67","2"
"826","67","1"
"941","67","1"
"958","67","2"
"982","67","1"
"1122","67","1"
"1198","67","1"
"1224","67","2"
"1354","67","2"
"1375","67","1"
"1386","67","1"
"1415","67","2"
"1478","67","1"
"1556","67","1"
"4","68","2"
"29","68","1"
"310","68","2"
"320","68","1"
"377","68","2"
"439","68","2"
"496","68","1"
"560","68","2"
"671","68","1"
"673","68","1"
"894","68","1"
"970","68","2"
"981","68","1"
"1051","68","1"
"1171","68","2"
"1289","68","2"
"1367","68","2"
"1390","68","1"
"1431","68","1"
"4","69","1"
"6","69","1"
"80","69","2"
"198","69","1"
"285","69","2"
"378","69","1"
"381","69","1"
"412","69","1"
"425","69","1"
"1","71","2"
"54","71","2"
"56","71","1"
"82","71","2"
"123","71","2"
"156","71","1"
"175","71","1"
"226","71","2"
"241","71","1"
"245","71","1"
"344","71","2"
"379","71","1"
"419","71","2"
"538","71","1"
"573","71","2"
"637","71","1"
"695","71","2"
"760","71","2"
"884","71","2"
"919","71","2"
"963","71","2"
"1002","71","2"
"1012","71","2"
"1160","71","2"
"1217","71","2"
"1219","71","2"
"1245","71","2"
"1340","71","2"
"1413","71","1"
"1574","71","1"
"1637","71","2"
"1639","71","1"
"1652","71","2"
"56","72","2"
"80","72","1"
"123","72","1"
"129","72","2"
"138","72","1"
"140","72","1"
"171","72","2"
"378","72","2"
"482","72","1"
"736","72","2"
"739","72","2"
"1005","72","2"
"1039","72","2"
"1083","72","2"
"1084","72","1"
"1163","72","1"
"1222","72","2"
"1284","72","1"
"1288","72","1"
"1389","72","1"
"1536","72","1"
"1546","72","1"
"1624","72","2"
"1637","72","1"
"29","73","2"
"103","73","2"
"174","73","2"
"186","73","1"
"192","73","1"
"194","73","2"
"239","73","1"
"245","73","2"
"261","73","1"
"325","73","1"
"344","73","1"
"349","73","2"
"351","73","2"
"377","73","1"
"392","73","2"
"393","73","2"
"424","73","2"
"495","73","1"
"635","73","1"
"703","73","1"
"744","73","2"
"880","73","2"
"911","73","1"
"970","73","1"
"971","73","2"
"987","73","1"
"1060","73","1"
"1113","73","2"
"1171","73","1"
"1221","73","1"
"1274","73","2"
"1294","73","2"
"1586","73","1"
"103","74","1"
"155","74","2"
"199","74","1"
"286","74","2"
"349","74","1"
"417","74","2"
"536","74","2"
"1041","74","1"
"1112","74","1"
"1154","74","1"
"35","75","1"
"79","75","1"
"141","75","1"
"171","75","1"
"189","75","1"
"252","75","1"
"255","75","2"
"272","75","1"
"284","75","2"
"315","75","2"
"316","75","1"
"392","75","1"
"414","75","1"
"418","75","1"
"521","75","2"
"583","75","2"
"604","75","2"
"649","75","1"
"692","75","1"
"705","75","1"
"714","75","1"
"880","75","1"
"996","75","1"
"1038","75","1"
"1323","75","2"
"1342","75","1"
"1398","75","1"
"1479","75","2"
"1480","75","1"
"1584","75","1"
"144","76","1"
"226","76","1"
"261","76","2"
"279","76","2"
"286","76","1"
"312","76","2"
"573","76","1"
"711","76","1"
"744","76","1"
"795","76","1"
"879","76","1"
"895","76","2"
"985","76","2"
"1184","76","1"
"1189","76","1"
"1224","76","1"
"1274","76","1"
"1390","76","2"
"1500","76","1"
"1503","76","2"
"1587","76","1"
"15","78","1"
"20","78","1"
"83","78","1"
"84","78","1"
"113","78","1"
"237","78","1"
"291","78","1"
"342","78","2"
"374","78","2"
"404","78","2"
"409","78","2"
"456","78","1"
"549","78","1"
"756","78","1"
"810","78","1"
"817","78","2"
"864","78","2"
"891","78","2"
"899","78","1"
"1073","78","2"
"1168","78","2"
"1181","78","1"
"1243","78","2"
"1360","78","2"
"1397","78","1"
"1456","78","2"
"1483","78","2"
"1528","78","1"
"17","79","1"
"203","79","1"
"264","79","1"
"300","79","1"
"329","79","1"
"391","79","1"
"773","79","1"
"1119","79","2"
"1262","79","2"
"1327","79","2"
"1372","79","1"
"1524","79","1"
"1665","79","2"
"40","80","1"
"106","80","1"
"165","80","1"
"273","80","2"
"231","81","1"
"88","83","1"
"142","83","1"
"157","83","1"
"185","83","1"
"233","83","1"
"294","83","1"
"311","83","2"
"337","83","2"
"338","83","1"
"345","83","1"
"346","83","2"
"363","83","2"
"365","83","1"
"408","83","1"
"427","83","2"
"433","83","2"
"509","83","1"
"619","83","1"
"633","83","1"
"658","83","2"
"660","83","2"
"662","83","2"
"664","83","2"
"666","83","1"
"699","83","1"
"745","83","2"
"813","83","2"
"849","83","1"
"945","83","2"
"964","83","1"
"1075","83","1"
"1123","83","2"
"1209","83","1"
"1308","83","1"
"1593","83","1"
"1595","83","1"
"1632","83","1"
"1660","83","1"
"72","84","1"
"165","84","2"
"207","84","1"
"230","84","1"
"296","84","2"
"498","84","1"
"664","84","1"
"697","84","2"
"867","84","2"
"945","84","1"
"962","84","1"
"1034","84","1"
"1078","84","1"
"1133","84","2"
"1206","84","1"
"1278","84","1"
"1308","84","2"
"1448","84","1"
"1449","84","1"
"1467","84","1"
"1477","84","1"
"1525","84","2"
"1629","84","2"
"78","86","2"
"206","86","2"
"227","86","1"
"559","86","2"
"966","86","1"
"992","86","1"
"1132","86","2"
"42","87","2"
"67","87","2"
"179","87","1"
"204","87","1"
"206","87","1"
"216","87","2"
"280","87","2"
"283","87","2"
"368","87","2"
"493","87","2"
"494","87","1"
"640","87","2"
"846","87","1"
"871","87","2"
"873","87","1"
"876","87","1"
"1026","87","1"
"1192","87","2"
"1196","87","2"
"1197","87","2"
"1211","87","2"
"1385","87","1"
"1428","87","1"
"1430","87","1"
"1442","87","2"
"1474","87","1"
"124","88","2"
"232","88","1"
"251","88","1"
"260","88","2"
"290","88","1"
"293","88","1"
"295","88","2"
"314","88","1"
"318","88","1"
"323","88","1"
"326","88","2"
"390","88","1"
"522","88","2"
