"shooter_id","goalie_id","game_id","is_goal","is_gamewinninggoal","shootout_attempt"
"58","6","237","0","0","1"
"58","6","237","1","0","7"
"58","6","237","1","1","8"
"58","6","251","1","0","2"
"58","6","251","0","0","4"
"60","6","69","0","0","2"
"61","123","44","1","0","1"
"61","6","65","0","0","1"
"61","122","75","0","0","2"
"61","28","106","0","0","1"
"63","123","44","0","0","2"
"63","6","69","0","0","3"
"63","122","75","0","0","4"
"63","155","79","0","0","5"
"63","123","136","0","0","4"
"63","85","138","0","0","4"
"63","228","189","0","0","2"
"63","28","227","0","0","2"
"63","155","245","0","0","3"
"65","123","136","0","0","5"
"66","28","17","0","0","1"
"73","155","36","0","0","4"
"73","28","227","0","0","4"
"75","28","17","0","0","4"
"75","123","136","1","0","3"
"75","85","138","0","0","2"
"78","48","75","0","0","2"
"78","155","139","0","0","3"
"78","85","163","0","0","1"
"78","85","163","1","1","6"
"78","28","173","1","0","4"
"78","228","179","1","1","2"
"78","228","179","0","0","5"
"78","222","237","0","0","3"
"78","155","259","0","0","3"
"78","228","269","1","0","2"
"78","228","269","0","0","5"
"79","48","75","0","0","5"
"83","22","55","1","0","3"
"83","22","55","0","0","4"
"83","59","106","0","0","4"
"83","64","138","0","0","4"
"83","19","163","1","0","3"
"83","6","173","0","0","3"
"86","64","36","0","0","4"
"86","85","76","0","0","3"
"88","6","65","1","0","2"
"88","6","69","1","0","1"
"88","6","69","1","1","5"
"88","155","79","0","0","1"
"88","28","106","0","0","2"
"88","28","106","0","0","5"
"88","6","237","1","0","3"
"88","6","237","0","0","5"
"88","6","237","0","0","6"
"88","6","251","1","1","3"
"89","28","17","1","0","3"
"89","28","17","0","0","5"
"89","123","136","0","0","1"
"89","85","138","0","0","1"
"98","22","55","0","0","1"
"98","41","76","0","0","3"
"98","64","138","0","0","3"
"100","28","17","0","0","2"
"100","155","36","1","1","2"
"100","155","36","1","0","5"
"100","228","189","1","1","1"
"100","228","189","1","0","4"
"100","28","227","0","0","3"
"100","155","245","0","0","2"
"104","48","44","1","0","1"
"104","85","55","0","0","1"
"104","228","117","1","0","1"
"114","48","44","0","0","3"
"115","85","55","0","0","2"
"115","228","117","0","0","3"
"125","155","36","0","0","1"
"133","28","17","1","1","6"
"133","155","36","0","0","3"
"138","122","75","0","0","3"
"138","59","106","0","0","2"
"138","123","156","0","0","5"
"138","6","173","0","0","2"
"141","155","79","0","0","3"
"142","6","65","0","0","5"
"158","41","76","0","0","5"
"161","64","17","0","0","3"
"161","41","35","0","0","2"
"161","41","76","1","0","1"
"161","28","106","0","0","4"
"169","155","130","0","0","2"
"169","211","136","1","1","4"
"169","28","156","0","0","5"
"181","28","173","1","1","3"
"181","211","245","1","1","1"
"181","211","245","0","0","3"
"181","6","259","0","0","1"
"189","155","130","1","0","1"
"189","155","130","0","0","6"
"189","211","136","1","0","1"
"189","211","136","0","0","5"
"189","28","156","0","0","1"
"192","211","136","0","0","2"
"192","28","156","0","0","2"
"198","123","156","0","0","3"
"201","19","163","0","0","1"
"203","211","245","1","0","2"
"203","6","259","0","0","2"
"205","22","117","0","0","2"
"205","123","130","0","0","3"
"205","6","139","0","0","2"
"205","6","179","0","0","3"
"205","134","189","0","0","3"
"205","6","269","0","0","2"
"205","6","269","0","0","6"
"209","123","136","0","0","2"
"209","85","138","0","0","5"
"210","85","138","1","0","3"
"210","228","189","0","0","3"
"210","6","259","0","0","5"
"224","28","106","0","0","3"
"229","6","269","1","0","7"
"229","6","269","0","0","8"
"231","22","117","1","0","1"
"231","123","130","0","0","1"
"231","6","139","0","0","1"
"231","6","179","0","0","1"
"240","6","237","0","0","2"
"240","6","251","1","0","1"
"241","6","237","0","0","4"
"245","6","269","0","0","1"
"245","6","269","0","0","4"
"246","222","237","1","0","2"
"246","222","237","0","0","6"
"246","238","251","0","0","1"
"246","155","259","0","0","4"
"246","228","269","0","0","3"
"259","222","237","0","0","4"
"280","6","269","1","0","3"
"280","6","269","0","0","5"
"313","28","227","0","0","5"
"313","155","245","0","0","1"
"317","28","227","0","0","1"
