"goal_id","player_id","primary_secondary"
"575","31","1"
"576","23","1"
"576","115","2"
"578","206","1"
"578","229","2"
"579","25","2"
"579","169","1"
"580","206","2"
"580","230","1"
"582","67","2"
"582","210","1"
"583","63","1"
"583","75","2"
"584","49","1"
"585","65","1"
"585","210","2"
"587","12","1"
"587","180","2"
"588","21","2"
"588","169","1"
"589","26","1"
"591","97","1"
"591","102","2"
"592","32","1"
"592","198","2"
"594","88","1"
"595","161","1"
"595","219","2"
"596","53","1"
"596","58","2"
"597","34","2"
"597","206","1"
"598","99","1"
"599","12","2"
"599","181","1"
"600","26","1"
"601","39","2"
"601","138","1"
"604","75","2"
"604","209","1"
"606","129","1"
"607","24","1"
"607","188","2"
"608","12","1"
"609","169","2"
"609","189","1"
"611","13","2"
"611","185","1"
"612","20","1"
"612","169","2"
"613","44","1"
"614","34","1"
"614","36","2"
"615","42","1"
"615","47","2"
"616","227","1"
"617","36","1"
"617","40","2"
"618","196","2"
"618","198","1"
"619","30","2"
"619","83","1"
"620","12","1"
"620","110","2"
"621","12","1"
"621","181","2"
"622","230","2"
"622","231","1"
"623","125","1"
"625","52","2"
"625","58","1"
"626","33","2"
"626","47","1"
"627","13","1"
"627","185","2"
"629","20","2"
"629","23","1"
"630","129","1"
"631","203","1"
"632","39","2"
"632","138","1"
"633","83","1"
"634","65","2"
"634","67","1"
"635","67","2"
"635","73","1"
"637","50","2"
"637","71","1"
"638","5","1"
"638","15","2"
"639","1","1"
"640","87","2"
"640","205","1"
"641","199","1"
"642","21","1"
"644","24","2"
"644","104","1"
"645","31","2"
"645","196","1"
"647","11","1"
"648","125","1"
"649","63","2"
"649","75","1"
"650","209","1"
"653","89","1"
"655","188","1"
"656","20","1"
"657","42","2"
"657","206","1"
"658","83","2"
"658","198","1"
"659","39","1"
"659","138","2"
"660","83","2"
"660","196","1"
"661","11","1"
"661","23","2"
"662","83","2"
"662","157","1"
"663","21","2"
"663","169","1"
"664","83","2"
"664","84","1"
"665","52","1"
"665","219","2"
"666","83","1"
"666","114","2"
"667","53","2"
"667","57","1"
"668","1","1"
"669","15","1"
"669","167","2"
"670","15","1"
"671","65","2"
"671","68","1"
"672","1","2"
"672","185","1"
"673","68","1"
"673","210","2"
"674","34","1"
"674","205","2"
"676","36","1"
"676","229","2"
"677","63","1"
"677","65","2"
"679","20","2"
"679","115","1"
"680","129","1"
"680","191","2"
"681","5","2"
"681","15","1"
"682","20","2"
"682","115","1"
"683","13","2"
"683","181","1"
"684","11","1"
"685","11","1"
"686","229","1"
"687","36","1"
"687","44","2"
"688","42","2"
"688","205","1"
"689","21","2"
"689","169","1"
"690","63","1"
"690","67","2"
"691","21","1"
"691","192","2"
"692","67","2"
"692","75","1"
"694","65","1"
"694","89","2"
"695","60","1"
"695","71","2"
"696","198","1"
"696","203","2"
"697","51","1"
"697","84","2"
"698","196","2"
"698","198","1"
"699","83","1"
"700","67","2"
"700","89","1"
"701","32","1"
"701","201","2"
"702","32","1"
"703","63","2"
"703","73","1"
"705","75","1"
"708","12","1"
"708","13","2"
"709","205","1"
"710","9","2"
"710","42","1"
"711","56","2"
"711","76","1"
"712","58","2"
"712","88","1"
"714","63","2"
"714","75","1"
"716","50","2"
"716","223","1"
"717","114","1"
"717","196","2"
"718","114","1"
"718","198","2"
"719","44","2"
"719","205","1"
"720","20","2"
"720","115","1"
"721","11","1"
"722","63","2"
"722","100","1"
"724","89","2"
"724","210","1"
"726","13","1"
"727","1","1"
"727","16","2"
"728","17","1"
"728","118","2"
"729","15","2"
"729","18","1"
"730","53","2"
"730","57","1"
"731","223","1"
"732","129","1"
"733","20","2"
"733","21","1"
"734","53","1"
"734","62","2"
"735","223","1"
"736","4","1"
"736","72","2"
"737","60","2"
"737","101","1"
"738","4","1"
"738","62","2"
"739","4","1"
"739","72","2"
"740","21","1"
"740","115","2"
"742","1","1"
"742","16","2"
"743","209","1"
"744","73","2"
"744","76","1"
"745","83","2"
"745","116","1"
"746","51","1"
"746","198","2"
"747","98","2"
"747","196","1"
"748","51","1"
"749","36","1"
"749","205","2"
"750","42","1"
"750","205","2"
"751","26","1"
"752","114","2"
"752","198","1"
"753","11","1"
"753","24","2"
"754","11","2"
"754","23","1"
"756","18","2"
"756","78","1"
"757","149","1"
"758","15","1"
"758","180","2"
"760","60","1"
"760","71","2"
"761","67","2"
"761","89","1"
"762","65","1"
"762","89","2"
"763","53","1"
"763","57","2"
