"name","name","shooter_id","goalie_id","game_id","period","time","is_goal","x_location","y_location","type","quality"
"Emily Brown","Boston Fleet","2","59","69","1","00:12:43","0","473","56","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","22","70","1","00:00:29","0","468","69","Wrist","Non quality on net"
"Emily Brown","Boston Fleet","2","22","70","2","00:10:03","0","399","261","Wrist","Non quality on net"
"Emily Brown","Boston Fleet","2","155","16","3","00:00:43","0","174","243","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","123","23","1","00:06:05","0","521","170","Default","Quality on net"
"Emily Brown","Boston Fleet","2","123","23","2","00:19:48","0","167","213","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","85","27","3","00:13:15","0","171","107","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","155","32","3","00:01:28","0","128","211","Default","Quality on net"
"Emily Brown","Boston Fleet","2","155","32","3","00:04:35","0","77","212","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","59","34","2","00:16:27","0","176","197","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","41","48","4","00:01:00","0","116","233","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","70","52","2","00:00:58","0","435","85","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","64","57","2","00:14:28","1","142","132","Default","Quality goal"
"Emily Brown","Boston Fleet","2","28","64","1","00:00:16","0","212","265","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","28","64","1","00:00:17","0","186","201","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","28","64","2","00:19:39","0","199","124","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","59","65","2","00:09:18","0","212","268","Snap","Non quality on net"
"Emily Brown","Boston Fleet","2","155","68","2","00:06:03","0","510","163","Default","Quality on net"
"Emily Brown","Boston Fleet","2","155","68","2","00:18:52","0","398","50","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","155","68","3","00:00:15","0","388","43","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","59","69","1","00:12:43","0","473","56","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","22","70","1","00:00:29","0","468","69","Wrist","Non quality on net"
"Emily Brown","Boston Fleet","2","22","70","2","00:10:03","0","399","261","Wrist","Non quality on net"
"Emma Buckles","Boston Fleet","3","64","41","3","00:02:34","0","49","146","Backhand","Quality on net"
"Emma Buckles","Boston Fleet","3","41","53","1","00:01:59","0","466","166","Default","Quality on net"
"Emma Buckles","Boston Fleet","3","6","83","1","00:03:25","0","388","70","Default","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","22","4","3","00:19:09","0","159","244","Default","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","64","14","1","00:12:29","0","479","255","Default","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","59","19","2","00:08:36","0","461","62","Snap","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","59","19","2","00:11:54","0","458","63","Snap","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","85","27","1","00:13:39","0","137","189","Default","Quality on net"
"Shiann Darkangelo","Boston Fleet","4","85","27","4","00:02:09","0","75","176","Default","Quality on net"
"Shiann Darkangelo","Boston Fleet","4","155","32","1","00:13:53","0","171","210","Default","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","155","32","2","00:04:28","0","110","203","Default","Quality on net"
"Shiann Darkangelo","Boston Fleet","4","59","34","1","00:02:02","0","150","74","Default","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","59","34","3","00:07:31","0","125","136","Default","Quality on net"
"Shiann Darkangelo","Boston Fleet","4","22","38","2","00:06:41","0","315","53","Slap","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","22","38","2","00:09:31","0","498","19","Wrist","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","22","38","3","00:14:56","0","455","66","Wrist","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","85","42","1","00:07:05","0","338","128","Wrist","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","64","45","1","00:03:54","0","504","183","Default","Quality on net"
"Shiann Darkangelo","Boston Fleet","4","64","45","1","00:12:16","0","468","180","Default","Quality on net"
"Shiann Darkangelo","Boston Fleet","4","64","45","3","00:00:54","0","533","141","Default","Quality on net"
"Shiann Darkangelo","Boston Fleet","4","41","48","1","00:08:01","0","314","273","Default","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","41","48","3","00:05:42","0","168","272","Default","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","22","50","1","00:03:50","0","492","152","Wrist","Quality on net"
"Shiann Darkangelo","Boston Fleet","4","22","50","3","00:01:27","0","432","137","Wrist","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","22","50","3","00:08:03","0","536","117","Wrist","Quality on net"
"Shiann Darkangelo","Boston Fleet","4","6","69","1","00:09:58","0","137","188","Snap","Quality on net"
"Shiann Darkangelo","Boston Fleet","4","155","71","1","00:11:06","0","142","64","Default","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","155","71","3","00:18:03","0","525","183","Default","Quality on net"
"Shiann Darkangelo","Boston Fleet","4","155","71","3","00:18:16","0","519","235","Default","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","64","72","1","00:17:42","0","406","47","Default","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","59","83","1","00:06:17","0","159","174","Default","Non quality on net"
"Shiann Darkangelo","Boston Fleet","4","59","83","1","00:18:51","0","100","195","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","22","4","3","00:16:19","0","190","199","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","28","11","1","00:15:58","0","465","141","Wrist","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","155","16","1","00:10:01","0","166","177","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","155","16","1","00:10:10","0","203","222","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","59","19","3","00:10:35","0","407","39","Snap","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","59","19","3","00:11:44","0","414","57","Snap","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","85","27","2","00:16:36","0","189","77","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","64","29","1","00:09:25","0","181","220","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","64","29","1","00:18:57","0","201","185","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","64","29","3","00:02:06","0","163","81","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","155","32","2","00:07:20","0","87","153","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","155","32","2","00:14:16","0","143","84","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","155","32","4","00:02:04","0","77","118","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","22","38","3","00:03:34","0","527","172","Wrist","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","64","45","3","00:11:21","0","525","164","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","41","48","2","00:08:27","0","192","246","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","41","48","2","00:15:22","0","130","99","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","155","56","3","00:11:07","0","409","51","Wrist","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","64","57","2","00:13:11","0","75","186","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","28","64","3","00:18:33","0","170","229","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","59","69","3","00:16:56","0","490","17","Snap","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","22","70","1","00:10:39","0","518","242","Wrist","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","22","70","2","00:01:04","0","457","74","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","22","70","3","00:11:16","0","419","31","Wrist","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","59","83","2","00:01:12","0","214","278","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","22","4","3","00:16:19","0","190","199","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","28","11","1","00:15:58","0","465","141","Wrist","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","155","16","1","00:10:01","0","166","177","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","155","16","1","00:10:10","0","203","222","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","59","19","3","00:10:35","0","407","39","Snap","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","59","19","3","00:11:44","0","414","57","Snap","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","85","27","2","00:16:36","0","189","77","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","64","29","1","00:09:25","0","181","220","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","64","29","1","00:18:57","0","201","185","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","64","29","3","00:02:06","0","163","81","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","155","32","2","00:07:20","0","87","153","Default","Quality on net"
