"id","date","home_team_id","visiting_team_id","season","venue","attendance","start_time","end_time","duration"
"178","2025-02-16","5","6","5","22","17518","02:12:00","04:49:00","02:37:00"
"179","2025-02-23","4","1","5","23","8512","04:12:00","06:47:00","02:35:00"
"180","2025-03-01","3","1","5","13","17324","02:11:00","04:42:00","02:31:00"
"181","2025-03-07","2","5","5","25","10782","07:12:00","09:32:00","02:20:00"
"182","2025-03-08","1","3","5","26","5968","02:07:00","04:25:00","02:18:00"
"183","2025-03-16","4","2","5","11","14288","06:42:00","09:06:00","02:24:00"
"184","2025-03-26","1","6","5","26","6028","06:08:00","08:31:00","02:23:00"
"185","2025-03-29","1","5","5","0","0","00:00:00","00:00:00","00:00:00"
"186","2025-04-26","2","4","5","5","6472","01:08:00","03:30:00","02:22:00"
"187","2025-04-26","1","6","5","3","5619","01:12:00","03:28:00","02:16:00"
"188","2025-04-26","5","3","5","2","8576","23:08:00","01:40:00","02:32:00"
"189","2025-04-29","6","4","5","15","8532","06:08:00","08:35:00","02:27:00"
"190","2025-04-28","3","1","5","8","8812","06:09:00","08:54:00","02:45:00"
"191","2025-04-30","5","2","5","2","5494","06:07:00","08:31:00","02:24:00"
"192","2025-05-02","4","3","5","0","0","00:00:00","00:00:00","00:00:00"
"193","2025-05-03","1","2","5","0","0","00:00:00","00:00:00","00:00:00"
"194","2025-05-03","6","5","5","0","0","00:00:00","00:00:00","00:00:00"
